,Angles,Phase,Score
201,"[1, 6, 8, 0, 180, 9, 180, 177]",,
202,"[1, 7, 8, 0, 179, 9, 180, 177]",,
203,"[1, 7, 8, 0, 180, 9, 179, 177]",,
204,"[1, 7, 8, 0, 180, 9, 179, 177]",,
205,"[1, 7, 9, 0, 180, 9, 179, 177]",,
206,"[1, 7, 9, 0, 180, 9, 179, 177]",,
207,"[1, 7, 11, 0, 180, 9, 179, 177]",,
208,"[1, 6, 12, 0, 180, 9, 179, 177]",,
209,"[1, 5, 12, 0, 180, 9, 179, 178]",,
210,"[1, 5, 13, 0, 180, 9, 179, 178]",,
211,"[1, 1, 15, 0, 180, 9, 179, 178]",,
212,"[1, 48, 108, 0, 180, 9, 179, 178]",,
213,"[0, 165, 178, 0, 180, 9, 179, 178]",,
214,"[0, 165, 174, 0, 180, 9, 179, 178]",,
215,"[0, 175, 178, 0, 180, 9, 179, 178]",,
216,"[0, 177, 179, 0, 180, 9, 179, 178]",,
217,"[1, 178, 179, 0, 180, 9, 180, 178]",,
218,"[1, 180, 179, 0, 180, 9, 180, 178]",,
219,"[1, 179, 180, 0, 180, 9, 180, 178]",,
220,"[1, 179, 180, 0, 180, 9, 180, 178]",,
221,"[1, 179, 180, 0, 180, 9, 180, 178]",,
222,"[2, 179, 180, 0, 180, 9, 180, 178]",,
223,"[2, 179, 180, 0, 180, 9, 180, 178]",,
224,"[2, 178, 180, 0, 180, 9, 180, 178]",,
225,"[2, 178, 180, 0, 180, 9, 179, 178]",,
226,"[2, 178, 180, 0, 180, 9, 179, 178]",,
227,"[2, 178, 180, 0, 180, 9, 179, 178]",,
228,"[2, 178, 180, 0, 180, 9, 179, 178]",,
229,"[2, 178, 180, 0, 180, 9, 179, 177]",,
230,"[2, 178, 180, 0, 180, 9, 179, 177]",,
231,"[2, 179, 180, 0, 180, 9, 179, 177]",,
232,"[2, 179, 180, 0, 180, 9, 179, 177]",,
233,"[2, 179, 180, 0, 180, 9, 179, 177]",,
234,"[2, 179, 180, 0, 180, 9, 179, 177]",,
235,"[2, 179, 180, 0, 180, 9, 179, 177]",,
236,"[2, 179, 180, 0, 180, 9, 179, 177]",,
237,"[1, 179, 180, 0, 180, 9, 179, 177]",,
238,"[1, 179, 180, 0, 180, 9, 179, 177]",,
239,"[1, 179, 180, 0, 180, 9, 179, 177]",,
240,"[1, 179, 180, 0, 180, 9, 179, 177]",,
241,"[1, 179, 180, 0, 180, 9, 179, 177]",,
242,"[1, 180, 180, 0, 180, 9, 179, 177]",,
243,"[1, 180, 180, 0, 180, 9, 179, 177]",,
244,"[1, 180, 180, 0, 180, 9, 179, 177]",,
245,"[1, 180, 179, 0, 180, 9, 179, 177]",,
246,"[1, 180, 178, 0, 180, 9, 179, 177]",,
247,"[1, 179, 178, 0, 180, 9, 179, 177]",,
248,"[1, 179, 177, 0, 180, 9, 179, 177]",,
249,"[1, 179, 177, 0, 180, 9, 179, 177]",,
250,"[1, 178, 177, 0, 180, 9, 179, 177]",,
251,"[1, 178, 176, 0, 180, 9, 179, 177]",,
252,"[1, 178, 176, 0, 180, 9, 179, 177]",,
253,"[1, 178, 176, 0, 180, 9, 179, 177]",,
254,"[2, 178, 176, 0, 180, 9, 178, 177]",,
255,"[2, 178, 176, 0, 180, 9, 178, 178]",,
256,"[2, 178, 176, 0, 180, 10, 178, 177]",,
