,Angles,Phase
40,"[1, 11, 9, 0, 179, 12, 179, 178]",1
41,"[1, 10, 9, 0, 179, 12, 179, 178]",1
42,"[1, 10, 9, 0, 179, 12, 179, 178]",1
43,"[1, 9, 9, 0, 179, 13, 179, 178]",1
44,"[1, 9, 9, 0, 179, 13, 179, 178]",1
45,"[2, 8, 8, 0, 179, 13, 179, 178]",1
46,"[2, 8, 8, 0, 179, 13, 179, 178]",1
47,"[2, 8, 8, 0, 179, 13, 179, 178]",1
48,"[2, 8, 8, 0, 179, 13, 179, 178]",1
49,"[2, 8, 8, 0, 179, 13, 179, 178]",1
50,"[2, 7, 8, 0, 179, 13, 179, 178]",1
51,"[3, 7, 8, 0, 179, 13, 179, 178]",1
52,"[3, 7, 8, 0, 179, 13, 179, 178]",1
53,"[3, 7, 8, 0, 179, 13, 179, 178]",1
54,"[3, 7, 8, 0, 179, 13, 179, 178]",1
55,"[3, 7, 8, 0, 179, 13, 179, 178]",1
56,"[3, 7, 8, 0, 179, 13, 179, 178]",1
57,"[3, 7, 8, 0, 179, 13, 179, 178]",1
58,"[3, 7, 8, 0, 179, 13, 179, 178]",1
59,"[3, 7, 8, 0, 179, 13, 179, 178]",1
60,"[3, 7, 8, 0, 179, 13, 179, 178]",1
61,"[3, 7, 8, 0, 179, 13, 179, 179]",1
62,"[3, 7, 8, 0, 179, 13, 179, 179]",1
63,"[3, 7, 8, 0, 179, 13, 179, 179]",1
64,"[3, 7, 8, 0, 179, 13, 179, 179]",1
65,"[3, 7, 8, 0, 179, 13, 179, 179]",1
66,"[3, 7, 8, 0, 179, 13, 179, 179]",1
67,"[3, 7, 8, 0, 178, 13, 179, 179]",1
68,"[3, 7, 8, 0, 178, 13, 179, 179]",1
69,"[3, 7, 8, 0, 178, 13, 179, 179]",1
70,"[3, 8, 8, 0, 178, 13, 179, 179]",1
71,"[3, 8, 8, 0, 178, 13, 179, 179]",1
72,"[3, 8, 8, 0, 178, 13, 179, 179]",1
73,"[3, 8, 8, 0, 178, 13, 179, 179]",1
74,"[2, 9, 8, 0, 178, 13, 179, 179]",1
75,"[2, 9, 8, 0, 178, 13, 179, 179]",1
76,"[2, 10, 8, 0, 179, 13, 179, 179]",1
77,"[2, 10, 9, 0, 179, 13, 179, 179]",1
78,"[2, 11, 10, 0, 179, 13, 179, 178]",1
79,"[2, 12, 11, 0, 179, 13, 179, 178]",1
80,"[1, 13, 12, 0, 179, 13, 179, 178]",1
81,"[1, 13, 13, 0, 179, 13, 179, 178]",1
82,"[1, 14, 15, 0, 179, 13, 179, 178]",1
83,"[1, 15, 17, 0, 179, 13, 179, 178]",1
84,"[1, 16, 17, 0, 179, 13, 179, 178]",1
85,"[0, 18, 19, 0, 179, 13, 179, 178]",1
86,"[0, 22, 24, 0, 179, 13, 179, 179]",1
87,"[0, 27, 39, 0, 179, 13, 179, 179]",1
88,"[0, 33, 49, 0, 180, 13, 179, 179]",1
89,"[0, 50, 73, 0, 180, 13, 179, 179]",1
90,"[0, 82, 106, 0, 180, 13, 179, 180]",1
91,"[0, 131, 132, 0, 179, 13, 179, 180]",0
92,"[0, 161, 150, 0, 179, 13, 179, 180]",0
93,"[0, 167, 158, 0, 179, 13, 179, 180]",0
94,"[0, 169, 165, 0, 180, 13, 179, 179]",0
95,"[0, 170, 165, 0, 180, 13, 179, 179]",0
96,"[1, 170, 168, 0, 180, 13, 179, 179]",0
97,"[1, 170, 170, 0, 180, 13, 179, 179]",0
98,"[1, 172, 171, 0, 180, 13, 179, 179]",0
99,"[1, 172, 172, 0, 180, 13, 179, 179]",0
100,"[1, 172, 172, 0, 180, 13, 179, 179]",0
101,"[1, 172, 173, 0, 180, 13, 179, 179]",0
102,"[1, 172, 173, 0, 179, 13, 179, 179]",0
103,"[2, 171, 174, 0, 179, 13, 179, 179]",0
104,"[2, 171, 174, 0, 179, 13, 179, 179]",0
105,"[2, 171, 173, 0, 179, 13, 179, 178]",0
