,Angles,Phase,Correction
130,"[0, 49, 41, 0, 178, 39, 175, 175]",2,0
131,"[0, 50, 41, 0, 177, 39, 175, 175]",2,0
132,"[0, 50, 40, 0, 177, 39, 175, 175]",2,0
133,"[0, 50, 40, 0, 177, 39, 175, 175]",2,0
134,"[0, 50, 40, 0, 177, 39, 175, 175]",2,0
135,"[1, 52, 40, 0, 177, 39, 175, 175]",2,0
136,"[1, 52, 40, 0, 177, 39, 175, 175]",2,0
137,"[1, 54, 40, 0, 177, 39, 175, 175]",2,0
138,"[2, 56, 40, 0, 177, 39, 174, 175]",2,0
139,"[3, 56, 40, 0, 177, 39, 174, 174]",2,0
140,"[3, 61, 41, 0, 177, 39, 174, 174]",2,1
141,"[2, 61, 41, 0, 177, 39, 174, 174]",2,1
142,"[3, 66, 41, 0, 177, 39, 174, 174]",2,1
143,"[2, 65, 42, 0, 178, 39, 174, 174]",2,1
144,"[3, 66, 43, 0, 178, 39, 175, 174]",2,1
145,"[3, 65, 44, 0, 178, 39, 175, 174]",2,1
146,"[2, 65, 45, 0, 179, 39, 175, 174]",2,1
147,"[2, 68, 46, 0, 179, 38, 175, 174]",2,1
148,"[1, 74, 48, 0, 179, 38, 175, 175]",2,1
149,"[0, 82, 51, 0, 179, 38, 175, 175]",2,1
150,"[0, 88, 53, 0, 180, 39, 175, 175]",2,1
151,"[0, 91, 58, 0, 180, 39, 175, 175]",0,1
152,"[1, 103, 63, 0, 179, 39, 175, 175]",0,1
153,"[2, 102, 67, 0, 179, 39, 175, 175]",0,1
154,"[1, 104, 72, 0, 179, 39, 175, 175]",0,1
155,"[1, 102, 80, 0, 179, 38, 176, 175]",0,1
156,"[1, 100, 86, 0, 180, 38, 176, 175]",0,0
157,"[1, 103, 90, 0, 180, 38, 176, 175]",0,0
158,"[0, 110, 97, 0, 180, 38, 176, 175]",0,0
159,"[0, 112, 102, 0, 180, 38, 176, 174]",0,0
160,"[0, 113, 107, 0, 180, 38, 177, 174]",0,0
