,Angles,Phase,Correction
48,"[2, 8, 8, 0, 179, 13, 179, 178]",,Widen your legs
49,"[2, 8, 8, 0, 179, 13, 179, 178]",,Widen your legs
50,"[2, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
51,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
52,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
53,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
54,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
55,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
56,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
57,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
58,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
59,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
60,"[3, 7, 8, 0, 179, 13, 179, 178]",,Widen your legs
61,"[3, 7, 8, 0, 179, 13, 179, 179]",,Widen your legs
62,"[3, 7, 8, 0, 179, 13, 179, 179]",,Widen your legs
63,"[3, 7, 8, 0, 179, 13, 179, 179]",,Widen your legs
64,"[3, 7, 8, 0, 179, 13, 179, 179]",,Widen your legs
65,"[3, 7, 8, 0, 179, 13, 179, 179]",,Widen your legs
66,"[3, 7, 8, 0, 179, 13, 179, 179]",,Widen your legs
67,"[3, 7, 8, 0, 178, 13, 179, 179]",,Widen your legs
68,"[3, 7, 8, 0, 178, 13, 179, 179]",,Widen your legs
69,"[3, 7, 8, 0, 178, 13, 179, 179]",,Widen your legs
70,"[3, 8, 8, 0, 178, 13, 179, 179]",,Widen your legs
71,"[3, 8, 8, 0, 178, 13, 179, 179]",,Widen your legs
72,"[3, 8, 8, 0, 178, 13, 179, 179]",,Widen your legs
73,"[3, 8, 8, 0, 178, 13, 179, 179]",,Widen your legs
74,"[2, 9, 8, 0, 178, 13, 179, 179]",,Widen your legs
75,"[2, 9, 8, 0, 178, 13, 179, 179]",,Widen your legs
76,"[2, 10, 8, 0, 179, 13, 179, 179]",,Widen your legs
77,"[2, 10, 9, 0, 179, 13, 179, 179]",,Widen your legs
78,"[2, 11, 10, 0, 179, 13, 179, 178]",,Widen your legs
