,Angles,Phase,Correction
134,"[53, 175, 179, 0, 155, 3, 160, 172]",,Widen your legs
135,"[53, 175, 179, 0, 155, 3, 160, 172]",,Widen your legs
136,"[53, 174, 179, 0, 155, 3, 160, 172]",,Widen your legs
137,"[52, 174, 179, 0, 155, 3, 160, 172]",,Widen your legs
138,"[52, 174, 179, 0, 155, 3, 160, 172]",,Widen your legs
139,"[52, 174, 179, 0, 155, 3, 160, 172]",,Widen your legs
140,"[52, 174, 179, 0, 155, 3, 160, 171]",,Widen your legs
141,"[52, 174, 179, 0, 155, 3, 160, 171]",,Widen your legs
142,"[52, 174, 179, 0, 155, 3, 160, 171]",,Widen your legs
143,"[52, 174, 178, 0, 155, 3, 160, 171]",,Widen your legs
144,"[52, 174, 178, 0, 155, 3, 160, 172]",,Widen your legs
145,"[52, 174, 178, 0, 155, 3, 160, 172]",,Widen your legs
146,"[52, 174, 178, 0, 155, 3, 160, 172]",,Widen your legs
147,"[52, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
148,"[52, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
149,"[52, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
150,"[52, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
151,"[52, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
152,"[52, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
153,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
154,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
155,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
156,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
157,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
158,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
159,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
160,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
161,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
162,"[53, 174, 178, 0, 156, 3, 161, 172]",,Widen your legs
163,"[53, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
164,"[53, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
165,"[53, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
166,"[53, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
167,"[52, 173, 178, 0, 156, 3, 161, 171]",,Widen your legs
168,"[52, 173, 178, 0, 156, 3, 161, 171]",,Widen your legs
169,"[52, 173, 178, 0, 156, 3, 161, 171]",,Widen your legs
170,"[52, 173, 178, 0, 156, 3, 161, 171]",,Widen your legs
171,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
172,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
173,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
174,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
175,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
176,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
177,"[52, 174, 178, 0, 156, 3, 161, 171]",,Widen your legs
